config_name,num_runs,val_loss_mean,val_loss_std,val_ppl_mean,val_ppl_std,train_tokens_per_second_mean,train_tokens_per_second_std,mean_attention_trigger_rate_mean,mean_attention_trigger_rate_std,mean_active_fraction_mean,mean_active_fraction_std,mean_halted_fraction_mean,mean_halted_fraction_std,mean_halt_step_mean,mean_halt_step_std,mean_executed_steps_mean,mean_executed_steps_std
always_attention,3,8.63972446653578,0.11110755950828446,5669.223957982744,628.6008354955396,1513.9302444060459,13.633337617341384,0.6666666666666666,0.5773502691896257,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
full_h07,3,8.591220537821451,0.007076605574837013,5384.271090192361,38.06992307546505,1539.4774349398065,8.172674612297335,0.6018518518518519,0.294409501770086,0.7315538194444444,0.20105833205227047,0.2684461805555556,0.2010583320522705,1.8365885416666667,0.1618683598067122,2.0,0.0
halting_only_h07,3,8.638786951700846,0.03129941244525171,5648.309193959292,175.1730743076576,1473.6912930723208,165.03847682897182,0.0,0.0,0.9215494791666666,0.05864476624230655,0.07845052083333334,0.058644766242306544,1.9366319444444444,0.04533409231045068,2.0,0.0
plain,3,8.457345326741537,0.05681365727065209,4714.552804865944,263.3699617918287,1602.2571335874984,59.070990011679726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
