config,step,num_runs,val_loss_mean,val_loss_std,val_ppl_mean,val_ppl_std,train_tok_s_mean,train_tok_s_std,attention_trigger_rate_mean,active_fraction_mean,halted_fraction_mean,mean_halt_step_mean
full_h07,200,3,8.04863433838,0.0472394877445,3131.86091077,149.268871625,1566.28918632,43.5526782297,0.283333333333,0.66025390625,0.33974609375,1.82259114583
full_h07,500,3,7.93184650739,0.0733104862606,2789.49809416,200.87446504,3251.4717104,68.3885457995,0.266666666667,0.851041666667,0.148958333333,1.893359375
full_h07,1000,3,8.32111449242,0.14456506189,4138.47185415,598.403087967,5123.50465069,147.668623746,0.358333333333,0.890885416667,0.109114583333,1.90904947917
plain,200,3,7.81249758403,0.0196137242393,2471.61098848,48.2628806888,1669.26832564,82.1622986176,,,,
plain,500,3,7.87481176058,0.00432226210646,2630.20740742,11.3583061855,3852.17599361,73.3571810945,,,,
plain,1000,3,8.47363742193,0.0640621825552,4793.52586238,312.449696285,6721.78787347,153.543892771,,,,
