variant_label,variant,seed,halting_threshold,router_threshold,benchmark_tokens_per_second,average_forward_time_ms,peak_gpu_memory_mb,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_executed_steps,logit_l2_vs_plain_mamba3,logit_mae_vs_plain_mamba3,json_path,log_path,command
fullB,full,0,0.7,0.7,1724.0135179745132,9.280669689178467,10.28173828125,0.0,0.96875,0.03125,1.96875,2.0,104.0320053100586,0.6468267440795898,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p7_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p7_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.7 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p7_r0p7.json
fullB,full,0,0.9,0.3,1504.6796756061085,10.633492469787598,11.44970703125,1.0,1.0,0.0,2.0,2.0,104.1336441040039,0.6479963064193726,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p9_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p9_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.9 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p9_r0p3.json
fullB,full,0,0.9,0.5,1585.0515605145188,10.094308853149414,11.36572265625,0.5,1.0,0.0,2.0,2.0,104.15437316894531,0.6482155323028564,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p9_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p9_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.9 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p9_r0p5.json
fullB,full,0,0.9,0.7,1692.2452952464528,9.454894065856934,10.28173828125,0.0,1.0,0.0,2.0,2.0,104.060302734375,0.6470375657081604,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p9_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p9_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.9 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p9_r0p7.json
plain,plain,1,0.5,0.5,4981.6544925470635,3.2117843627929688,9.58935546875,,,,,,,,results/fullb_experiments/sweep_plain_b1_p16_seed1.json,results/fullb_experiments/logs/sweep_plain_b1_p16_seed1.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant plain --seed 1 --output-json results/fullb_experiments/sweep_plain_b1_p16_seed1.json
always_attention,always_attention,1,0.5,0.0,1641.6062622309198,9.746551513671875,11.44970703125,1.0,1.0,0.0,2.0,2.0,103.98342895507812,0.650007963180542,results/fullb_experiments/sweep_always_attention_b1_p16_seed1.json,results/fullb_experiments/logs/sweep_always_attention_b1_p16_seed1.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant always_attention --seed 1 --output-json results/fullb_experiments/sweep_always_attention_b1_p16_seed1.json
halting_only,halting_only,1,0.5,0.5,1780.1586015265962,8.987963199615479,10.02880859375,0.0,0.28125,0.71875,1.40625,2.0,105.01338958740234,0.6537432670593262,results/fullb_experiments/sweep_halting_only_b1_p16_seed1_h0p5.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed1_h0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 1 --halt-threshold 0.5 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed1_h0p5.json
halting_only,halting_only,1,0.7,0.5,1767.7090382272563,9.051263332366943,10.02880859375,0.0,0.9375,0.0625,1.9375,2.0,105.28608703613281,0.6552680730819702,results/fullb_experiments/sweep_halting_only_b1_p16_seed1_h0p7.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed1_h0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 1 --halt-threshold 0.7 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed1_h0p7.json
halting_only,halting_only,1,0.9,0.5,1640.9399314368432,9.750509262084961,10.02880859375,0.0,1.0,0.0,2.0,2.0,105.49752044677734,0.656013011932373,results/fullb_experiments/sweep_halting_only_b1_p16_seed1_h0p9.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed1_h0p9.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 1 --halt-threshold 0.9 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed1_h0p9.json
fullB,full,1,0.5,0.3,1525.3470558553317,10.489416122436523,11.44970703125,1.0,0.40625,0.59375,1.59375,2.0,104.72467803955078,0.6547010540962219,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p5_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p5_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.5 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p5_r0p3.json
