variant_label,variant,halting_threshold,router_threshold,num_runs,mean_tokens_per_second,std_tokens_per_second,mean_speed_ratio_vs_plain,mean_forward_time_ms,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_peak_gpu_memory_mb,mean_logit_l2_vs_plain_mamba3,mean_logit_mae_vs_plain_mamba3
always_attention,always_attention,0.5,0.0,3,1541.5242110715753,88.2793146497675,0.32357139628998527,10.401471455891928,1.0,1.0,0.0,2.0,11.44970703125,103.93338521321614,0.6480661034584045
fullB,full,0.5,0.3,3,1476.8685241621108,65.42699655279002,0.3099999384165856,10.848251978556315,0.8333333333333334,0.28125,0.71875,1.4479166666666667,11.421712239583334,104.5947265625,0.6524736086527506
fullB,full,0.5,0.5,3,1516.5508894444138,251.9880703218543,0.31832940755515876,10.769311587015787,0.5,0.28125,0.71875,1.4375,11.032389322916666,104.57045491536458,0.6520829598108927
fullB,full,0.5,0.7,3,1587.5838867463672,97.09133276334963,0.33323948548619464,10.102872053782145,0.0,0.28125,0.71875,1.4375,10.28173828125,104.50167592366536,0.6516316334406534
fullB,full,0.7,0.3,3,1465.8408740631178,91.31026541116752,0.307685195570057,10.942586263020834,1.0,0.9479166666666666,0.052083333333333336,1.9479166666666667,11.44970703125,103.76590983072917,0.6472991307576498
fullB,full,0.7,0.5,3,1618.8569445611886,33.36942169425939,0.3398038111780792,9.886300563812256,0.4166666666666667,0.9270833333333334,0.07291666666666667,1.9270833333333333,11.351725260416666,104.2659428914388,0.6501239538192749
fullB,full,0.7,0.7,3,1736.626763980631,53.7762349850237,0.36452411374399135,9.219098091125488,0.0,0.9270833333333334,0.07291666666666667,1.9270833333333333,10.28173828125,104.15474955240886,0.6491706172625223
fullB,full,0.9,0.3,3,1515.450150999254,60.44916813492284,0.31809835865362845,10.56902011235555,1.0,1.0,0.0,2.0,11.44970703125,103.93338521321614,0.6480661034584045
fullB,full,0.9,0.5,3,1613.3379827789156,26.479414118838196,0.33864536153639646,9.919114907582602,0.3333333333333333,1.0,0.0,2.0,11.337727864583334,103.89266204833984,0.6476518909136454
fullB,full,0.9,0.7,3,1706.0147776486538,96.52862933696103,0.3580985492997182,9.398424625396729,0.0,1.0,0.0,2.0,10.28173828125,103.95119222005208,0.6479633649190267
halting_only,halting_only,0.5,0.5,3,1722.5722995917856,77.86119899149365,0.36157403184858905,9.301400184631348,0.0,0.3333333333333333,0.6666666666666666,1.4895833333333333,10.02880859375,104.84237416585286,0.6547064582506815
halting_only,halting_only,0.7,0.5,3,1694.491874712861,124.23234463296147,0.35567985112717593,9.477821985880533,0.0,0.9583333333333334,0.041666666666666664,1.9583333333333333,10.02880859375,104.45553843180339,0.651740570863088
halting_only,halting_only,0.9,0.5,3,1688.5071643932488,123.72888771294036,0.354423639216523,9.508697191874186,0.0,1.0,0.0,2.0,10.02880859375,104.57777913411458,0.651916523774465
plain,plain,0.5,0.5,3,4764.092959842651,633.0032689505066,1.0,3.401156266530355,,,,,9.58935546875,,
