config_name,variant,seed,result_file,parameter_count,train_loss,train_ppl,train_tokens_per_second,train_step_time_ms,val_loss,val_ppl,eval_tokens_per_second,eval_step_time_ms,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_executed_steps
full_h07,full,0,wikitext103_full_h07_seed0.json,13220772,6.973044544219971,1067.4677610444269,3277.6654285060863,78.10437202453613,7.849125242233276,2563.4909021790504,29256.31379900385,8.750247955322266,0.05,0.81025390625,0.18974609375,1.88359375,2.0
full_h07,full,1,wikitext103_full_h07_seed1.json,13220772,6.992965368270874,1088.9458185208898,3173.8581089850077,80.65893030166626,7.95764045715332,2857.323016172657,28610.45582565275,8.94777774810791,0.625,0.80888671875,0.19111328125,1.8314453125,2.0
full_h07,full,2,wikitext103_full_h07_seed2.json,13220772,6.916483506202698,1008.7664292602398,3302.891593716835,77.50784206390381,7.988773822784424,2947.680364142335,25920.516024372107,9.876346588134766,0.125,0.933984375,0.066015625,1.9650390625,2.0
plain,plain,0,wikitext103_plain_seed0.json,13088160,6.350030515670777,572.5101792792584,3933.101188425747,65.08858728408813,7.87833161354065,2639.4652361055187,86124.64799916581,2.97243595123291,,,,,
plain,plain,1,wikitext103_plain_seed1.json,13088160,6.358341383934021,577.2880626373175,3833.3838980898977,66.78172779083252,7.869987535476684,2617.532961683529,79584.18191655734,3.216719627380371,,,,,
plain,plain,2,wikitext103_plain_seed2.json,13088160,6.379969948768616,589.9099798707981,3790.0428943290017,67.54540967941284,7.876116132736206,2633.6240244762776,78032.42859842154,3.2806873321533203,,,,,
